NMARK=1
MARKER_TAG=inlet
NROW=128
NCOL=6
# COORD-X    COORD-Y    TEMPERATURE    VELOCITY    NORMAL-X    NORMAL-Y
0.00000000000000E+00    3.61574803149606E-01    3.00000000000000E+02    1.24992249984501E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.58346456692913E-01    3.00000000000000E+02    1.32134664269329E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.55118110236220E-01    3.00000000000000E+02    1.39128278256558E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.51889763779527E-01    3.00000000000000E+02    1.45973091946185E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.48661417322834E-01    3.00000000000000E+02    1.52669105338212E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.45433070866141E-01    3.00000000000000E+02    1.59216318432638E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.42204724409448E-01    3.00000000000000E+02    1.65614731229464E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.38976377952755E-01    3.00000000000000E+02    1.71864343728689E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.35748031496063E-01    3.00000000000000E+02    1.77965155930312E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.32519685039370E-01    3.00000000000000E+02    1.83917167834336E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.29291338582677E-01    3.00000000000000E+02    1.89720379440759E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.26062992125984E-01    3.00000000000000E+02    1.95374790749582E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.22834645669291E-01    3.00000000000000E+02    2.00880401760804E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.19606299212598E-01    3.00000000000000E+02    2.06237212474426E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.16377952755905E-01    3.00000000000000E+02    2.11445222890447E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.13149606299212E-01    3.00000000000000E+02    2.16504433008867E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.09921259842519E-01    3.00000000000000E+02    2.21414842829687E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.06692913385826E-01    3.00000000000000E+02    2.26176452352906E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.03464566929133E-01    3.00000000000000E+02    2.30789261578524E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.00236220472440E-01    3.00000000000000E+02    2.35253270506542E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.97007874015748E-01    3.00000000000000E+02    2.39568479136958E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.93779527559055E-01    3.00000000000000E+02    2.43734887469775E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.90551181102362E-01    3.00000000000000E+02    2.47752495504991E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.87322834645669E-01    3.00000000000000E+02    2.51621303242607E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.84094488188976E-01    3.00000000000000E+02    2.55341310682622E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.80866141732283E-01    3.00000000000000E+02    2.58912517825036E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.77637795275590E-01    3.00000000000000E+02    2.62334924669850E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.74409448818897E-01    3.00000000000000E+02    2.65608531217063E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.71181102362204E-01    3.00000000000000E+02    2.68733337466676E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.67952755905511E-01    3.00000000000000E+02    2.71709343418688E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.64724409448818E-01    3.00000000000000E+02    2.74536549073099E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.61496062992126E-01    3.00000000000000E+02    2.77214954429909E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    2.58267716535433E-01    3.00000000000000E+02    2.79744559489119E+00    1.00000000000000E+00    0.00000000000000E+00
